Instance Id|Total Time taken(millseconds)|Timestamp|Message|Time  Taken
63200004|401.0|Tue Apr 06 06:38:24.237 AM UTC 2021|Message received: Instance created|0
63200004|401.0|Tue Apr 06 06:38:24.290 AM UTC 2021|<span class="tracking_payload_first">Message</span> processed by <i>Trigger</i> <b>TestThaiOIC</b>|53.0
63200004|401.0|Tue Apr 06 06:38:24.314 AM UTC 2021||24.0
63200004|401.0|Tue Apr 06 06:38:24.320 AM UTC 2021|Data Mapping completed from <span class="tracking_payload_first">Message</span> to <span class="tracking_payload_second">Message</span>|6.0
63200004|401.0|Tue Apr 06 06:38:24.334 AM UTC 2021||14.0
63200004|401.0|Tue Apr 06 06:38:24.336 AM UTC 2021||2.0
63200004|401.0|Tue Apr 06 06:38:24.338 AM UTC 2021|Message received by <i>Invoke</i> <b>testCallThaiEnd</b>|2.0
63200004|401.0|Tue Apr 06 06:38:24.354 AM UTC 2021|<span class="tracking_payload">Message</span> sent to testCallThaiEnd|16.0
63200004|401.0|Tue Apr 06 06:38:24.576 AM UTC 2021|Request: 'Call External REST API: Post /testEncoding/' completed successfully in 171 ms - JSON:  /testEncoding/|222.0
63200004|401.0|Tue Apr 06 06:38:24.585 AM UTC 2021|<span class="tracking_payload">Message</span> received from testCallThaiEnd|9.0
63200004|401.0|Tue Apr 06 06:38:24.587 AM UTC 2021|Data Mapping completed from <span class="tracking_payload_first">Message</span> to <span class="tracking_payload_second">Message</span>|2.0
63200004|401.0|Tue Apr 06 06:38:24.602 AM UTC 2021||15.0
63200004|401.0|Tue Apr 06 06:38:24.604 AM UTC 2021||2.0
63200004|401.0|Tue Apr 06 06:38:24.608 AM UTC 2021|<i>Reply</i> to <b>TestThaiOIC</b> completedwith <span class="tracking_payload_first">Message</span>|4.0
63200004|401.0|Tue Apr 06 06:38:24.638 AM UTC 2021||30.0
64000004|536.0|Tue Apr 06 06:38:22.167 AM UTC 2021|Message received: Instance created|0
64000004|536.0|Tue Apr 06 06:38:22.230 AM UTC 2021|<span class="tracking_payload_first">Message</span> processed by <i>Trigger</i> <b>TestThaiOIC</b>|63.0
64000004|536.0|Tue Apr 06 06:38:22.259 AM UTC 2021||29.0
64000004|536.0|Tue Apr 06 06:38:22.267 AM UTC 2021|Data Mapping completed from <span class="tracking_payload_first">Message</span> to <span class="tracking_payload_second">Message</span>|8.0
64000004|536.0|Tue Apr 06 06:38:22.296 AM UTC 2021||29.0
64000004|536.0|Tue Apr 06 06:38:22.298 AM UTC 2021||2.0
64000004|536.0|Tue Apr 06 06:38:22.300 AM UTC 2021|Message received by <i>Invoke</i> <b>testCallThaiEnd</b>|2.0
64000004|536.0|Tue Apr 06 06:38:22.325 AM UTC 2021|<span class="tracking_payload">Message</span> sent to testCallThaiEnd|25.0
64000004|536.0|Tue Apr 06 06:38:22.626 AM UTC 2021|Request: 'Call External REST API: Post /testEncoding/' completed successfully in 232 ms - JSON:  /testEncoding/|301.0
64000004|536.0|Tue Apr 06 06:38:22.636 AM UTC 2021|<span class="tracking_payload">Message</span> received from testCallThaiEnd|10.0
64000004|536.0|Tue Apr 06 06:38:22.640 AM UTC 2021|Data Mapping completed from <span class="tracking_payload_first">Message</span> to <span class="tracking_payload_second">Message</span>|4.0
64000004|536.0|Tue Apr 06 06:38:22.658 AM UTC 2021||18.0
64000004|536.0|Tue Apr 06 06:38:22.660 AM UTC 2021||2.0
64000004|536.0|Tue Apr 06 06:38:22.666 AM UTC 2021|<i>Reply</i> to <b>TestThaiOIC</b> completedwith <span class="tracking_payload_first">Message</span>|6.0
64000004|536.0|Tue Apr 06 06:38:22.703 AM UTC 2021||37.0
63600004|820.0|Tue Apr 06 06:38:19.540 AM UTC 2021|Message received: Instance created|0
63600004|820.0|Tue Apr 06 06:38:19.692 AM UTC 2021|<span class="tracking_payload_first">Message</span> processed by <i>Trigger</i> <b>TestThaiOIC</b>|152.0
63600004|820.0|Tue Apr 06 06:38:19.732 AM UTC 2021||40.0
63600004|820.0|Tue Apr 06 06:38:19.736 AM UTC 2021|Data Mapping completed from <span class="tracking_payload_first">Message</span> to <span class="tracking_payload_second">Message</span>|4.0
63600004|820.0|Tue Apr 06 06:38:19.780 AM UTC 2021||44.0
63600004|820.0|Tue Apr 06 06:38:19.782 AM UTC 2021||2.0
63600004|820.0|Tue Apr 06 06:38:19.783 AM UTC 2021|Message received by <i>Invoke</i> <b>testCallThaiEnd</b>|1.0
63600004|820.0|Tue Apr 06 06:38:19.809 AM UTC 2021|<span class="tracking_payload">Message</span> sent to testCallThaiEnd|26.0
63600004|820.0|Tue Apr 06 06:38:20.257 AM UTC 2021|Request: 'Call External REST API: Post /testEncoding/' completed successfully in 394 ms - JSON:  /testEncoding/|448.0
63600004|820.0|Tue Apr 06 06:38:20.293 AM UTC 2021|<span class="tracking_payload">Message</span> received from testCallThaiEnd|36.0
63600004|820.0|Tue Apr 06 06:38:20.294 AM UTC 2021|Data Mapping completed from <span class="tracking_payload_first">Message</span> to <span class="tracking_payload_second">Message</span>|1.0
63600004|820.0|Tue Apr 06 06:38:20.322 AM UTC 2021||28.0
63600004|820.0|Tue Apr 06 06:38:20.323 AM UTC 2021||1.0
63600004|820.0|Tue Apr 06 06:38:20.327 AM UTC 2021|<i>Reply</i> to <b>TestThaiOIC</b> completedwith <span class="tracking_payload_first">Message</span>|4.0
63600004|820.0|Tue Apr 06 06:38:20.360 AM UTC 2021||33.0
